Strategy,App,Iteration,Energy,Mem,CPU,Requests,Response Size,Transfer Over NW,Load Time
Cache First,Bird and Earth,8,47.62368,1124349.658,17.8839174,69,2168862,1067139,1472
Cache First,Bird and Earth,9,32.64768,1124349.658,17.8839174,70,2168865,1067422,1823
Cache First,Bird and Earth,10,35.1936,1124349.658,17.8839174,69,2168864,1066572,1965
Cache First,lacuenta,1,53.31456,1073255.554,4.964709702,17,428508,0,482
Cache First,lacuenta,2,35.9424,1073255.554,4.964709702,17,428508,0,317
Cache First,lacuenta,3,53.61408,1073255.554,4.964709702,17,428508,0,340
Cache First,lacuenta,4,61.70112,1073255.554,4.964709702,17,428508,0,332
Cache First,lacuenta,5,15.87456,1073255.554,4.964709702,17,428508,0,291
Cache First,lacuenta,6,48.52224,1073255.554,4.964709702,17,428508,0,328
Cache First,lacuenta,7,57.05856,1073255.554,4.964709702,17,428508,0,315
Cache First,lacuenta,8,52.26624,1073255.554,4.964709702,17,428508,0,341
Cache First,lacuenta,9,52.416,1073255.554,4.964709702,17,428508,0,352
Cache First,lacuenta,10,42.53184,1073255.554,4.964709702,17,428508,0,285
Network Only,Football Peek,1,59.472468,1118058.73,16.42563241,20,1058770,407245,366
Network Only,Football Peek,2,54.7965,1118058.73,16.42563241,20,1058770,407127,323
Network Only,Football Peek,3,58.887972,1118058.73,16.42563241,10,529385,406858,503
Network Only,Football Peek,4,60.056964,1118058.73,16.42563241,10,529385,406886,443
Network Only,Football Peek,5,72.769752,1118058.73,16.42563241,10,529385,407513,316
Network Only,Football Peek,6,59.764716,1118058.73,16.42563241,10,529385,407513,325
Network Only,Football Peek,7,61.664328,1118058.73,16.42563241,10,529385,407513,347
Network Only,Football Peek,8,59.764716,1118058.73,16.42563241,10,529385,407513,298
Network Only,Football Peek,9,59.618592,1118058.73,16.42563241,10,529385,407513,372
Network Only,Football Peek,10,60.056964,1118058.73,16.42563241,10,529385,407513,321
Network Only,Dev's Coffee,1,79.63758,1576331.442,18.75454545,18,8181338,8177757,1381
Network Only,Dev's Coffee,2,73.500372,1576331.442,18.75454545,18,8217942,8218715,1464
Network Only,Dev's Coffee,3,78.760836,1576331.442,18.75454545,18,8217942,8218662,1773
Network Only,Dev's Coffee,4,83.29068,1576331.442,18.75454545,18,8217942,8218802,1525
Network Only,Dev's Coffee,5,74.961612,1576331.442,18.75454545,18,8217942,8218441,1733
Network Only,Dev's Coffee,6,75.107736,1576331.442,18.75454545,18,8217942,8218662,1773
Network Only,Dev's Coffee,7,75.107736,1576331.442,18.75454545,18,8217942,8218802,1525
Network Only,Dev's Coffee,8,72.915876,1576331.442,18.75454545,18,8217942,8218441,1733
Network Only,Dev's Coffee,9,68.239908,1576331.442,18.75454545,18,8217942,8218715,1464
Network Only,Dev's Coffee,10,76.7151,1576331.442,18.75454545,18,8217942,8218662,1773
Network Only,WavePad,1,92.642616,1105202.291,25.40191982,8,56241,42695,688
Network Only,WavePad,2,88.989516,1105202.291,25.40191982,7,55106,42296,157
Network Only,WavePad,3,90.012384,1105202.291,25.40191982,7,55106,42391,192
Network Only,WavePad,4,97.464708,1105202.291,25.40191982,7,55106,42289,171
Network Only,WavePad,5,102.2868,1105202.291,25.40191982,7,55106,42546,165
Network Only,WavePad,6,94.834476,1105202.291,25.40191982,7,55106,42391,153
